Salt,Base,Acid,SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g)
0,1,0,530.00,1.12,0.00,16.20,0.00,0.20,228.00
0,1,0,354.00,1.12,13.40,9.40,0.00,0.20,239.00
0,1,0,530.00,1.12,0.00,16.20,0.00,0.50,209.00
0,1,0,354.00,1.12,13.40,9.40,0.00,0.50,235.00
0,1,0,530.00,1.12,0.00,16.20,0.00,1.00,199.00
0,1,0,354.00,1.12,13.40,9.40,0.00,1.00,231.00
0,1,0,530.00,1.12,0.00,16.20,0.00,2.00,190.00
0,1,0,354.00,1.12,13.40,9.40,0.00,2.00,228.00
0,1,0,530.00,1.12,0.00,16.20,0.00,5.00,175.00
0,1,0,354.00,1.12,13.40,9.40,0.00,5.00,220.00
0,1,0,530.00,1.12,0.00,16.20,0.00,9.99,162.00
0,1,0,354.00,1.12,13.40,9.40,0.00,9.99,214.00
0,1,0,530.00,1.12,0.00,16.20,0.00,19.99,142.00
0,1,0,354.00,1.12,13.40,9.40,0.00,19.99,209.00
0,1,0,388.00,1.12,4.44,5.51,0.00,2.00,370.00
0,1,0,388.00,1.12,4.44,5.51,0.00,3.00,325.00
0,1,0,388.00,1.12,4.44,5.51,0.00,4.00,300.00
0,1,0,388.00,1.12,4.44,5.51,0.00,5.00,290.00
0,1,0,388.00,1.12,4.44,5.51,0.00,6.00,285.00
0,1,0,388.00,1.12,4.44,5.51,0.00,8.00,270.00
0,1,0,388.00,1.12,4.44,5.51,0.00,9.99,250.00
0,1,0,244.00,1.12,1.32,3.68,0.00,0.50,350.00
0,1,0,244.00,1.12,1.32,3.68,0.00,1.00,270.00
0,1,0,244.00,1.12,1.32,3.68,0.00,2.00,175.00
0,1,0,244.00,1.12,1.32,3.68,0.00,3.00,165.00
0,1,0,244.00,1.12,1.32,3.68,0.00,4.00,150.00
0,1,0,244.00,1.12,1.32,3.68,0.00,5.00,145.00
0,1,0,244.00,1.12,1.32,3.68,0.00,6.00,130.00
0,1,0,244.00,1.12,1.32,3.68,0.00,8.00,120.00
0,1,0,244.00,1.12,1.32,3.68,0.00,9.99,110.00
0,1,0,166.00,1.00,0.00,21.88,0.00,0.50,200.00
0,1,0,191.80,1.06,7.59,16.04,0.00,0.50,278.30
0,1,0,196.80,1.02,7.71,16.01,0.00,0.50,334.00
0,1,0,178.60,1.04,8.08,13.36,0.00,0.50,241.10
0,1,0,196.80,1.02,4.58,13.53,0.00,0.50,204.80
0,1,0,196.80,1.02,3.53,15.66,0.00,0.50,305.00
0,1,0,196.80,1.02,2.50,19.42,0.00,0.50,173.90
0,1,0,166.00,1.00,0.00,21.88,0.00,1.00,176.87
0,1,0,191.80,1.06,7.59,16.04,0.00,1.00,234.53
0,1,0,196.80,1.02,7.71,16.01,0.00,1.00,285.50
0,1,0,178.60,1.04,8.08,13.36,0.00,1.00,211.68
0,1,0,166.00,1.00,0.00,21.88,0.00,2.00,163.27
0,1,0,191.80,1.06,7.59,16.04,0.00,2.00,211.51
0,1,0,196.80,1.02,7.71,16.01,0.00,2.00,259.54
0,1,0,178.60,1.04,8.08,13.36,0.00,2.00,200.00
0,1,0,166.00,1.00,0.00,21.88,0.00,5.00,153.06
0,1,0,191.80,1.06,7.59,16.04,0.00,5.00,194.24
0,1,0,196.80,1.02,7.71,16.01,0.00,5.00,238.17
0,1,0,178.60,1.04,8.08,13.36,0.00,5.00,183.21
0,1,0,166.00,1.00,0.00,21.88,0.00,9.99,142.86
0,1,0,191.80,1.06,7.59,16.04,0.00,9.99,179.86
0,1,0,196.80,1.02,7.71,16.01,0.00,9.99,226.72
0,1,0,178.60,1.04,8.08,13.36,0.00,9.99,171.53
0,1,0,166.00,1.00,0.00,21.88,0.00,19.99,132.65
0,1,0,191.80,1.06,7.59,16.04,0.00,19.99,165.47
0,1,0,196.80,1.02,7.71,16.01,0.00,19.99,209.92
0,1,0,178.60,1.04,8.08,13.36,0.00,19.99,163.50
0,1,0,267.10,0.85,0.00,17.60,0.00,0.10,131.00
0,1,0,267.10,0.85,0.00,17.60,0.00,0.50,129.00
0,1,0,267.10,0.85,0.00,17.60,0.00,1.00,125.00
0,1,0,267.10,0.85,0.00,17.60,0.00,2.00,112.00
0,1,0,267.10,0.85,0.00,17.60,0.00,5.00,87.50
0,1,0,267.10,0.85,0.00,17.60,0.00,9.99,69.00
0,1,0,278.50,0.38,0.00,3.04,0.00,0.10,170.00
0,1,0,278.50,0.38,0.00,3.04,0.00,0.50,160.00
0,1,0,278.50,0.38,0.00,3.04,0.00,1.00,150.00
0,1,0,278.50,0.38,0.00,3.04,0.00,2.00,125.00
0,1,0,278.50,0.38,0.00,3.04,0.00,5.00,102.00
0,1,0,278.50,0.38,0.00,3.04,0.00,9.99,84.00
0,1,0,353.10,0.46,1.10,7.23,0.00,0.10,219.00
0,1,0,353.10,0.46,1.10,7.23,0.00,0.50,175.00
0,1,0,353.10,0.46,1.10,7.23,0.00,1.00,162.00
0,1,0,353.10,0.46,1.10,7.23,0.00,2.00,148.00
0,1,0,353.10,0.46,1.10,7.23,0.00,5.00,125.00
0,1,0,353.10,0.46,1.10,7.23,0.00,9.99,97.00
0,1,0,462.10,0.54,2.13,7.68,0.00,0.10,279.00
0,1,0,462.10,0.54,2.13,7.68,0.00,0.50,276.00
0,1,0,462.10,0.54,2.13,7.68,0.00,1.00,222.00
0,1,0,462.10,0.54,2.13,7.68,0.00,2.00,180.00
0,1,0,462.10,0.54,2.13,7.68,0.00,5.00,150.00
0,1,0,462.10,0.54,2.13,7.68,0.00,9.99,124.00
0,1,0,407.00,0.77,2.92,6.85,0.00,0.10,229.00
0,1,0,407.00,0.77,2.92,6.85,0.00,0.50,210.00
0,1,0,407.00,0.77,2.92,6.85,0.00,1.00,180.00
0,1,0,407.00,0.77,2.92,6.85,0.00,2.00,150.00
0,1,0,407.00,0.77,2.92,6.85,0.00,5.00,136.00
0,1,0,407.00,0.77,2.92,6.85,0.00,9.99,110.00
0,1,0,175.90,1.14,9.70,6.36,1.20,1.00,323.80
0,1,0,175.90,1.14,9.70,6.36,1.20,2.00,316.70
0,1,0,175.90,1.14,9.70,6.36,1.20,5.00,305.30
0,1,0,175.90,1.14,9.70,6.36,1.20,9.99,294.60
0,1,0,175.90,1.14,9.70,6.36,1.20,19.99,286.30
0,1,0,131.30,1.24,8.48,32.32,4.59,0.20,158.00
0,1,0,131.30,1.24,8.48,32.32,4.59,0.50,149.00
0,1,0,131.30,1.24,8.48,32.32,4.59,1.00,142.00
0,1,0,131.30,1.24,8.48,32.32,4.59,5.00,132.00
0,1,0,131.30,1.24,8.48,32.32,4.59,9.99,124.00
0,1,0,284.80,1.27,10.28,27.56,3.86,0.20,167.00
0,1,0,284.80,1.27,10.28,27.56,3.86,0.50,161.00
0,1,0,284.80,1.27,10.28,27.56,3.86,1.00,154.00
0,1,0,284.80,1.27,10.28,27.56,3.86,5.00,142.00
0,1,0,284.80,1.27,10.28,27.56,3.86,9.99,133.00
0,1,0,324.60,1.17,6.40,13.69,2.66,0.20,208.00
0,1,0,324.60,1.17,6.40,13.69,2.66,0.50,198.00
0,1,0,324.60,1.17,6.40,13.69,2.66,1.00,185.00
0,1,0,324.60,1.17,6.40,13.69,2.66,5.00,177.00
0,1,0,324.60,1.17,6.40,13.69,2.66,9.99,167.00
0,1,0,259.50,1.25,4.88,6.79,2.08,0.20,132.00
0,1,0,259.50,1.25,4.88,6.79,2.08,0.50,118.00
0,1,0,259.50,1.25,4.88,6.79,2.08,1.00,112.00
0,1,0,259.50,1.25,4.88,6.79,2.08,5.00,95.00
0,1,0,259.50,1.25,4.88,6.79,2.08,9.99,85.00
0,0,1,471.05,1.78,0.00,28.41,0.00,0.30,160.00
0,0,1,274.44,1.76,1.66,12.91,0.00,0.30,349.00
0,0,1,471.05,1.78,0.00,28.41,0.00,0.50,149.00
0,0,1,274.44,1.76,1.66,12.91,0.00,0.50,332.00
0,0,1,471.05,1.78,0.00,28.41,0.00,0.70,140.00
0,0,1,274.44,1.76,1.66,12.91,0.00,0.70,320.00
0,0,1,471.05,1.78,0.00,28.41,0.00,1.00,135.00
0,0,1,274.44,1.76,1.66,12.91,0.00,1.00,306.00
0,0,1,471.05,1.78,0.00,28.41,0.00,2.00,124.00
0,0,1,274.44,1.76,1.66,12.91,0.00,2.00,273.00
0,0,1,471.05,1.78,0.00,28.41,0.00,3.00,105.00
0,0,1,274.44,1.76,1.66,12.91,0.00,3.00,249.00
0,0,1,471.05,1.78,0.00,28.41,0.00,4.00,93.00
0,0,1,274.44,1.76,1.66,12.91,0.00,4.00,225.00
0,0,1,471.05,1.78,0.00,28.41,0.00,5.00,87.00
0,0,1,274.44,1.76,1.66,12.91,0.00,5.00,206.00
0,1,0,282.30,1.06,1.26,10.01,1.16,0.50,327.00
0,1,0,282.30,1.06,1.26,10.01,1.16,1.00,274.00
0,1,0,282.30,1.06,1.26,10.01,1.16,2.00,263.00
0,1,0,282.30,1.06,1.26,10.01,1.16,3.00,250.00
0,1,0,282.30,1.06,1.26,10.01,1.16,5.00,246.00
0,1,0,282.30,1.06,1.26,10.01,1.16,9.99,229.00
0,1,0,282.30,1.06,1.26,10.01,1.16,19.99,212.00
0,1,0,366.00,1.11,2.27,9.18,2.39,0.50,381.00
0,1,0,366.00,1.11,2.27,9.18,2.39,1.00,321.00
0,1,0,366.00,1.11,2.27,9.18,2.39,2.00,310.00
0,1,0,366.00,1.11,2.27,9.18,2.39,3.00,307.00
0,1,0,366.00,1.11,2.27,9.18,2.39,5.00,297.00
0,1,0,366.00,1.11,2.27,9.18,2.39,9.99,280.00
0,1,0,366.00,1.11,2.27,9.18,2.39,19.99,258.00
0,1,0,257.80,1.08,1.52,8.75,1.91,0.50,320.00
0,1,0,257.80,1.08,1.52,8.75,1.91,1.00,265.00
0,1,0,257.80,1.08,1.52,8.75,1.91,2.00,251.00
0,1,0,257.80,1.08,1.52,8.75,1.91,3.00,247.00
0,1,0,257.80,1.08,1.52,8.75,1.91,5.00,227.00
0,1,0,257.80,1.08,1.52,8.75,1.91,9.99,224.00
0,1,0,257.80,1.08,1.52,8.75,1.91,19.99,200.00
0,1,0,836.00,1.00,0.00,0.00,0.00,0.50,134.00
0,1,0,836.00,1.00,0.00,0.00,0.00,1.00,108.00
0,1,0,836.00,1.00,0.00,0.00,0.00,3.00,89.00
0,1,0,836.00,1.00,0.00,0.00,0.00,5.00,83.00
0,1,0,836.00,1.00,0.00,0.00,0.00,8.00,68.00
0,1,0,966.00,1.06,1.62,5.96,0.48,0.50,261.00
0,1,0,966.00,1.06,1.62,5.96,0.48,1.00,194.00
0,1,0,966.00,1.06,1.62,5.96,0.48,3.00,130.00
0,1,0,966.00,1.06,1.62,5.96,0.48,5.00,119.00
0,1,0,966.00,1.06,1.62,5.96,0.48,8.00,103.00
0,1,0,1335.00,1.13,1.60,4.62,0.37,0.50,203.00
0,1,0,1335.00,1.13,1.60,4.62,0.37,1.00,148.00
0,1,0,1335.00,1.13,1.60,4.62,0.37,3.00,100.00
0,1,0,1335.00,1.13,1.60,4.62,0.37,5.00,95.00
0,1,0,1335.00,1.13,1.60,4.62,0.37,8.00,78.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,0.25,208.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,0.25,234.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,0.25,257.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,0.25,183.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,0.50,195.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,0.50,218.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,0.50,241.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,0.50,153.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,1.00,189.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,1.00,207.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,1.00,234.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,1.00,167.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,2.50,180.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,2.50,199.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,2.50,223.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,2.50,160.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,5.00,177.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,5.00,195.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,5.00,219.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,5.00,158.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,9.99,172.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,9.99,190.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,9.99,214.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,9.99,156.00
0,1,0,1934.70,1.12,0.00,3.86,0.00,24.98,171.00
0,1,0,1919.10,1.12,0.00,3.24,0.64,24.98,179.00
0,1,0,1790.30,1.12,0.00,4.07,1.13,24.98,210.00
0,1,0,1630.90,1.12,0.00,6.35,2.37,24.98,155.00
0,1,0,106.30,1.01,0.00,12.88,0.00,1.00,160.00
0,1,0,106.30,1.01,0.00,12.88,0.00,2.00,150.00
0,1,0,106.30,1.01,0.00,12.88,0.00,5.00,140.00
0,1,0,106.30,1.01,0.00,12.88,0.00,8.00,130.00
0,1,0,106.30,1.01,0.00,12.88,0.00,9.99,127.00
0,1,0,106.30,1.01,0.00,12.88,0.00,15.00,123.00
0,1,0,106.30,1.01,0.00,12.88,0.00,19.99,118.00
0,1,0,193.50,1.05,0.00,11.89,0.00,1.00,215.00
0,1,0,193.50,1.05,0.00,11.89,0.00,2.00,200.00
0,1,0,193.50,1.05,0.00,11.89,0.00,5.00,185.00
0,1,0,193.50,1.05,0.00,11.89,0.00,8.00,178.00
0,1,0,193.50,1.05,0.00,11.89,0.00,9.99,175.00
0,1,0,193.50,1.05,0.00,11.89,0.00,15.00,173.00
0,1,0,193.50,1.05,0.00,11.89,0.00,19.99,171.00
0,1,0,129.20,1.33,4.25,11.20,2.69,1.00,315.00
0,1,0,129.20,1.33,4.25,11.20,2.69,2.00,260.00
0,1,0,129.20,1.33,4.25,11.20,2.69,5.00,223.00
0,1,0,129.20,1.33,4.25,11.20,2.69,8.00,205.00
0,1,0,129.20,1.33,4.25,11.20,2.69,9.99,200.00
0,1,0,129.20,1.33,4.25,11.20,2.69,15.00,193.00
0,1,0,129.20,1.33,4.25,11.20,2.69,19.99,190.00
0,1,0,370.40,1.32,4.80,7.76,2.01,1.00,346.00
0,1,0,370.40,1.32,4.80,7.76,2.01,2.00,302.00
0,1,0,370.40,1.32,4.80,7.76,2.01,5.00,260.00
0,1,0,370.40,1.32,4.80,7.76,2.01,8.00,242.00
0,1,0,370.40,1.32,4.80,7.76,2.01,9.99,235.00
0,1,0,370.40,1.32,4.80,7.76,2.01,15.00,215.00
0,1,0,370.40,1.32,4.80,7.76,2.01,19.99,201.00
