SSA (m2/g),ID/IG,%N,%O,%S,Current density (A/g),Specific capacitance (F/g),Calculated pH
1122.5,0.85,0.0,5.7,0.0,0.5,240.63,14.78
1122.5,0.85,0.0,5.7,0.0,1.0,228.13,14.78
1122.5,0.85,0.0,5.7,0.0,2.0,225.0,14.78
1122.5,0.85,0.0,5.7,0.0,5.0,215.63,14.78
1122.5,0.85,0.0,5.7,0.0,10.0,206.25,14.78
1122.5,0.85,0.0,5.7,0.0,20.0,200.0,14.78
2276.6,0.85,0.0,6.8,0.0,0.5,287.5,14.78
2276.6,0.85,0.0,6.8,0.0,1.0,268.75,14.78
2276.6,0.85,0.0,6.8,0.0,2.0,259.38,14.78
2276.6,0.85,0.0,6.8,0.0,5.0,253.13,14.78
2276.6,0.85,0.0,6.8,0.0,10.0,246.88,14.78
2276.6,0.85,0.0,6.8,0.0,20.0,237.5,14.78
2217.6,0.85,0.0,7.4,0.0,0.5,250.0,14.78
2217.6,0.85,0.0,7.4,0.0,1.0,251.0,14.78
2217.6,0.85,0.0,7.4,0.0,2.0,256.25,14.78
2217.6,0.85,0.0,7.4,0.0,5.0,246.88,14.78
2217.6,0.85,0.0,7.4,0.0,10.0,231.25,14.78
2217.6,0.85,0.0,7.4,0.0,20.0,230.0,14.78
1385.6,0.85,0.0,6.5,0.0,0.5,262.5,14.78
1385.6,0.85,0.0,6.5,0.0,1.0,256.25,14.78
1385.6,0.85,0.0,6.5,0.0,2.0,250.0,14.78
1385.6,0.85,0.0,6.5,0.0,5.0,234.38,14.78
1385.6,0.85,0.0,6.5,0.0,10.0,228.13,14.78
1385.6,0.85,0.0,6.5,0.0,20.0,218.75,14.78
1066.9,0.85,0.0,6.7,0.0,0.5,212.5,14.78
1066.9,0.85,0.0,6.7,0.0,1.0,212.6,14.78
1066.9,0.85,0.0,6.7,0.0,2.0,203.13,14.78
1066.9,0.85,0.0,6.7,0.0,5.0,196.88,14.78
1066.9,0.85,0.0,6.7,0.0,10.0,195.0,14.78
1066.9,0.85,0.0,6.7,0.0,20.0,190.63,14.78
1824.6,0.85,0.0,7.1,0.0,0.5,231.25,14.78
1824.6,0.85,0.0,7.1,0.0,1.0,228.13,14.78
1824.6,0.85,0.0,7.1,0.0,2.0,225.0,14.78
1824.6,0.85,0.0,7.1,0.0,5.0,215.63,14.78
1824.6,0.85,0.0,7.1,0.0,10.0,206.25,14.78
1824.6,0.85,0.0,7.1,0.0,20.0,200.0,14.78
887.0,0.85,3.4,0.0,0.0,1.0,286.0,14.78
71.5,1.3,0.0,21.13,0.0,0.4,260.5,14.78
71.5,1.3,0.0,21.13,0.0,1.0,224.0,14.78
71.5,1.3,0.0,21.13,0.0,2.0,212.5,14.78
71.5,1.3,0.0,21.13,0.0,4.0,200.6,14.78
71.5,1.3,0.0,21.13,0.0,6.0,194.0,14.78
71.5,1.3,0.0,21.13,0.0,8.0,188.5,14.78
71.5,1.3,0.0,21.13,0.0,10.0,178.0,14.78
71.5,1.3,0.0,21.13,0.0,20.0,155.0,14.78
96.78,1.3,0.0,19.69,0.0,0.4,225.7,14.78
96.78,1.3,0.0,19.69,0.0,1.0,205.0,14.78
96.78,1.3,0.0,19.69,0.0,2.0,192.5,14.78
96.78,1.3,0.0,19.69,0.0,4.0,179.3,14.78
96.78,1.3,0.0,19.69,0.0,6.0,173.0,14.78
96.78,1.3,0.0,19.69,0.0,8.0,162.7,14.78
96.78,1.3,0.0,19.69,0.0,10.0,159.0,14.78
96.78,1.3,0.0,19.69,0.0,20.0,138.0,14.78
180.71,1.31,0.0,18.18,0.0,0.4,195.9,14.78
180.71,1.31,0.0,18.18,0.0,1.0,175.0,14.78
180.71,1.31,0.0,18.18,0.0,2.0,160.0,14.78
180.71,1.31,0.0,18.18,0.0,4.0,155.7,14.78
180.71,1.31,0.0,18.18,0.0,6.0,154.9,14.78
180.71,1.31,0.0,18.18,0.0,8.0,152.0,14.78
180.71,1.31,0.0,18.18,0.0,10.0,143.75,14.78
180.71,1.31,0.0,18.18,0.0,20.0,126.3,14.78
227.05,1.21,0.0,15.24,0.0,0.4,105.0,14.78
227.05,1.21,0.0,15.24,0.0,1.0,68.7,14.78
227.05,1.21,0.0,15.24,0.0,2.0,62.0,14.78
227.05,1.21,0.0,15.24,0.0,4.0,56.0,14.78
227.05,1.21,0.0,15.24,0.0,6.0,54.0,14.78
227.05,1.21,0.0,15.24,0.0,8.0,53.0,14.78
227.05,1.21,0.0,15.24,0.0,10.0,51.0,14.78
227.05,1.21,0.0,15.24,0.0,20.0,48.0,14.78
215.0,1.26,0.0,10.47,0.0,0.4,61.6,14.78
215.0,1.26,0.0,10.47,0.0,1.0,50.5,14.78
215.0,1.26,0.0,10.47,0.0,2.0,46.0,14.78
215.0,1.26,0.0,10.47,0.0,4.0,39.5,14.78
215.0,1.26,0.0,10.47,0.0,6.0,39.0,14.78
215.0,1.26,0.0,10.47,0.0,8.0,38.5,14.78
215.0,1.26,0.0,10.47,0.0,10.0,37.5,14.78
215.0,1.26,0.0,10.47,0.0,20.0,36.0,14.78
2005.0,0.85,0.0,4.02,3.89,0.5,315.0,14.78
2005.0,0.85,0.0,4.02,3.89,10.0,265.0,14.78
2005.0,0.85,0.0,4.02,3.89,20.0,260.0,14.78
2005.0,0.85,0.0,4.02,3.89,50.0,255.0,14.78
438.7,1.27,5.03,4.76,0.0,1.0,481.0,14.3
438.7,1.27,5.03,4.76,0.0,2.0,404.0,14.3
438.7,1.27,5.03,4.76,0.0,5.0,336.0,14.3
438.7,1.27,5.03,4.76,0.0,10.0,289.0,14.3
438.7,1.27,5.03,4.76,0.0,20.0,230.0,14.3
438.7,1.27,5.03,4.76,0.0,1.0,436.0,-0.0
438.7,1.27,5.03,4.76,0.0,2.0,340.0,-0.0
438.7,1.27,5.03,4.76,0.0,5.0,286.0,-0.0
438.7,1.27,5.03,4.76,0.0,10.0,253.0,-0.0
438.7,1.27,5.03,4.76,0.0,20.0,218.0,-0.0
108.6,0.95,0.0,5.53,0.0,1.0,127.5,14.3
108.6,0.95,0.0,5.53,0.0,2.0,120.0,14.3
